kingdom,phylum,class,order,family,genus,species,common_name,binomial,bird,full_code
Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelasticus,thilius,Yellow-winged Blackbird,Agelasticus thilius,TRUE,Agelasticus thilius_Yellow-winged Blackbird
Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelasticus,xanthophthalmus,Pale-eyed Blackbird,Agelasticus xanthophthalmus,TRUE,Agelasticus xanthophthalmus_Pale-eyed Blackbird
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaiocercus,coelestis,Violet-tailed Sylph,Aglaiocercus coelestis,TRUE,Aglaiocercus coelestis_Violet-tailed Sylph
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaiocercus,kingii,Long-tailed Sylph,Aglaiocercus kingii,TRUE,Aglaiocercus kingii_Long-tailed Sylph
Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Agriornis,montanus,Black-billed Shrike-Tyrant,Agriornis montanus,TRUE,Agriornis montanus_Black-billed Shrike-Tyrant
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Agropsar,philippensis,Chestnut-cheeked Starling,Agropsar philippensis,TRUE,Agropsar philippensis_Chestnut-cheeked Starling
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Agropsar,sturninus,Daurian Starling,Agropsar sturninus,TRUE,Agropsar sturninus_Daurian Starling
Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Ailuroedus,crassirostris,Green Catbird,Ailuroedus crassirostris,TRUE,Ailuroedus crassirostris_Green Catbird
Metazoa,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Ailuroedus,maculosus,Spotted Catbird,Ailuroedus maculosus,TRUE,Ailuroedus maculosus_Spotted Catbird
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Aimophila,notosticta,Oaxaca Sparrow,Aimophila notosticta,TRUE,Aimophila notosticta_Oaxaca Sparrow
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Aimophila,rufescens,Rusty Sparrow,Aimophila rufescens,TRUE,Aimophila rufescens_Rusty Sparrow
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Aimophila,ruficeps,Rufous-crowned Sparrow,Aimophila ruficeps,TRUE,Aimophila ruficeps_Rufous-crowned Sparrow
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,galericulata,Mandarin Duck,Aix galericulata,TRUE,Aix galericulata_Mandarin Duck
